date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:37	80426/80426	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213a2a-6874d87e-7dab04d0c2b78bb0;gz%22	https://html.themexriver.com/forgex/assets/js/bootstrap.bundle.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/bootstrap.bundle.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:37	148484/148484	---M-Z	200	added ('OK')	application/x-javascript	etag:%2224404-6874d87e-e79d91ed34325f77;gz%22	https://html.themexriver.com/forgex/assets/js/swiper-bundle.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/swiper-bundle.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:38	17158/17158	---M-Z	200	added ('OK')	application/x-javascript	etag:%224306-6874d87e-ac94debd01deee47;gz%22	https://html.themexriver.com/forgex/assets/js/wow.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/wow.js	(from https://html.themexriver.com/forgex/index.html)
10:08:38	2945/2945	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b81-6874d87e-c80eb59a77cc7511;gz%22	https://html.themexriver.com/forgex/assets/js/nice-select.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/nice-select.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:38	9029/9029	---M-Z	200	added ('OK')	application/x-javascript	etag:%222345-6874d87e-3f1974c927f0f211;gz%22	https://html.themexriver.com/forgex/assets/js/marquee.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/marquee.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:38	20219/20219	---M-Z	200	added ('OK')	application/x-javascript	etag:%224efb-6874d87e-4a3d0b2eeba98331;gz%22	https://html.themexriver.com/forgex/assets/js/magnific-popup.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/magnific-popup.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:39	15601/15601	---M-Z	200	added ('OK')	application/x-javascript	etag:%223cf1-6874d87e-e50d2b81e4df0b86;gz%22	https://html.themexriver.com/forgex/assets/js/SplitText.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/SplitText.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:39	72225/72225	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211a21-6874d87e-435853efed86dbb3;gz%22	https://html.themexriver.com/forgex/assets/js/gsap.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/gsap.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:39	7100/7100	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bbc-6874d87e-3df6fda4a62f456f;gz%22	https://html.themexriver.com/forgex/assets/js/CustomEase.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/CustomEase.min.js	(from https://html.themexriver.com/forgex/index.html)
10:08:39	2183/2183	---M-Z	200	added ('OK')	application/x-javascript	etag:%22887-6874d87e-8776f868f955672b;gz%22	https://html.themexriver.com/forgex/assets/js/counterup.min.js	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/js/counterup.min.js	(from https://html.themexriver.com/forgex/index.html)
